date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:13:04	219/219	U--MCZ	200	updated ('OK')	text/plain	etag:W/%2263f5f1c2-154%22	https://www.classcentral.com/robots.txt		(from )
16:13:05	664829/664829	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2022%20Feb%202023%2021:13:05%20GMT	https://www.classcentral.com/	C:/Users/angel/Documents/gatote/prueba_definitiva_definitiva/www.classcentral.com/index.html	(from )
16:13:05	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Feb%202023%2021:13:05%20GMT	http://schema.org/WebSite	C:/Users/angel/Documents/gatote/prueba_definitiva_definitiva/schema.org/WebSite.0.delayed	(from https://www.classcentral.com/)
16:13:08	179772/179772	---M-Z	200	added ('OK')	text/html	etag:%22HE3AwQ%22	https://schema.org/WebSite	C:/Users/angel/Documents/gatote/prueba_definitiva_definitiva/schema.org/WebSite.html	(from https://www.classcentral.com/)
16:13:09	9463/9463	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Feb%202023%2019:49:49%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fmeta%2Fmeta-default.png?auto=format&ixlib=php-3.3.1&s=abde49e12c23a50309f7d91754b25193	C:/Users/angel/Documents/gatote/prueba_definitiva_definitiva/ccweb.imgix.net/https_/www.classcentral.com/images/meta/meta-default6dba.png	(from https://www.classcentral.com/)
16:13:09	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Feb%202023%2021:13:08%20GMT	http://twitter.com/classcentral	C:/Users/angel/Documents/gatote/prueba_definitiva_definitiva/twitter.com/classcentral.3.delayed	(from https://www.classcentral.com/)
16:13:10	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Feb%202023%2021:13:09%20GMT	http://www.linkedin.com/company/class-central	C:/Users/angel/Documents/gatote/prueba_definitiva_definitiva/www.linkedin.com/company/class-central.5.delayed	(from https://www.classcentral.com/)
16:13:10	176272/176272	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Feb%202023%2021:13:10%20GMT	https://twitter.com/classcentral	C:/Users/angel/Documents/gatote/prueba_definitiva_definitiva/twitter.com/classcentral.html	(from https://www.classcentral.com/)
16:13:11	1530/1530	---M--	999	error ('Request%20denied')	text/html	date:Wed,%2022%20Feb%202023%2021:13:10%20GMT	https://www.linkedin.com/company/class-central	C:/Users/angel/Documents/gatote/prueba_definitiva_definitiva/www.linkedin.com/company/class-central.6.delayed	(from https://www.classcentral.com/)
16:13:12	136925/136925	---MCZ	200	added ('OK')	text/html	etag:W/%22c2bb80564ffd59d32ab6c2f28b3dce07%22	https://github.com/classcentral	C:/Users/angel/Documents/gatote/prueba_definitiva_definitiva/github.com/classcentral.html	(from https://www.classcentral.com/)
16:13:12	1328/1328	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:49:48%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-cyrillic-ext.woff2	C:/Users/angel/Documents/gatote/prueba_definitiva_definitiva/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-cyrillic-ext.woff2	(from https://www.classcentral.com/)
16:13:13	1328/1328	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:48:06%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek-ext.woff2	C:/Users/angel/Documents/gatote/prueba_definitiva_definitiva/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek-ext.woff2	(from https://www.classcentral.com/)
